user_date,deletions,additions
Chris Wanstrath (2008-02-16T10:46:16Z),1,1
Chris Wanstrath (2008-02-16T10:46:33Z),3,7
Chris Wanstrath (2008-02-16T10:52:20Z),1,1
Chris Wanstrath (2008-02-16T11:14:16Z),1,1
Chris Wanstrath (2008-02-16T11:28:29Z),3,3
Chris Wanstrath (2008-02-16T11:29:03Z),0,15
Chris Wanstrath (2008-02-16T20:12:29Z),0,1
Chris Wanstrath (2008-02-16T20:13:24Z),1,1
Chris Wanstrath (2008-02-16T21:26:14Z),3,3
Chris Wanstrath (2008-02-16T21:26:36Z),5,6
Chris Wanstrath (2008-02-26T06:17:49Z),15,4
Chris Wanstrath (2008-02-26T06:38:38Z),0,1
Chris Wanstrath (2008-02-26T07:15:46Z),1,1
Chris Wanstrath (2008-02-26T07:15:47Z),14,14
Chris Wanstrath (2008-02-26T07:15:47Z),14,23
Chris Wanstrath (2008-02-26T07:16:10Z),2,25
Chris Wanstrath (2008-02-26T07:16:10Z),0,11
Chris Wanstrath (2008-02-26T07:16:10Z),3,17
Chris Wanstrath (2008-03-01T00:19:32Z),1,1
Chris Wanstrath (2008-04-24T19:29:53Z),0,8
Chris Wanstrath (2008-04-24T19:30:13Z),1,1
Chris Wanstrath (2008-04-24T19:46:29Z),3,1
Chris Wanstrath (2008-04-24T19:52:10Z),7,3
Chris Wanstrath (2008-04-24T19:55:19Z),0,1
Chris Wanstrath (2008-04-26T09:07:36Z),2,2
Chris Wanstrath (2008-04-26T09:11:48Z),1829,0
Chris Wanstrath (2008-04-26T09:11:58Z),0,120
Chris Wanstrath (2008-04-26T09:18:16Z),10,10
Chris Wanstrath (2008-12-17T21:40:22Z),6,6
Chris Wanstrath (2009-06-11T17:26:55Z),0,3
Chris Wanstrath (2008-02-16T10:52:20Z),1,1
Chris Wanstrath (2008-02-16T11:14:16Z),1,1
Chris Wanstrath (2008-02-16T11:28:29Z),3,3
Chris Wanstrath (2008-02-16T11:29:03Z),0,15
Chris Wanstrath (2008-02-16T20:12:29Z),0,1
Chris Wanstrath (2008-02-16T20:13:24Z),1,1
Chris Wanstrath (2008-02-16T21:26:14Z),3,3
Chris Wanstrath (2008-02-16T21:26:36Z),5,6
Chris Wanstrath (2008-02-26T06:17:49Z),15,4
Chris Wanstrath (2008-02-26T06:38:38Z),0,1
Chris Wanstrath (2008-02-26T07:15:46Z),1,1
Chris Wanstrath (2008-02-26T07:15:47Z),14,14
Chris Wanstrath (2008-02-26T07:15:47Z),14,23
Chris Wanstrath (2008-02-26T07:16:10Z),2,25
Chris Wanstrath (2008-02-26T07:16:10Z),0,11
Chris Wanstrath (2008-02-26T07:16:10Z),3,17
Chris Wanstrath (2008-03-01T00:19:32Z),1,1
Chris Wanstrath (2008-04-24T19:29:53Z),0,8
Chris Wanstrath (2008-04-24T19:30:13Z),1,1
Chris Wanstrath (2008-04-24T19:46:29Z),3,1
Chris Wanstrath (2008-04-24T19:52:10Z),7,3
Chris Wanstrath (2008-04-24T19:55:19Z),0,1
Chris Wanstrath (2008-04-26T09:07:36Z),2,2
Chris Wanstrath (2008-04-26T09:11:48Z),1829,0
Chris Wanstrath (2008-04-26T09:11:58Z),0,120
Chris Wanstrath (2008-04-26T09:18:16Z),10,10
Chris Wanstrath (2008-12-17T21:39:02Z),1737,919
Chris Wanstrath (2008-12-17T21:41:33Z),30,30
Chris Wanstrath (2008-12-17T21:42:10Z),1,1
Chris Wanstrath (2015-04-24T00:18:23Z),1,1
