user_date,deletions,additions
Syohei YOSHIDA (2016-03-29T06:36:25Z),31,15
Syohei YOSHIDA (2016-03-29T06:56:39Z),3,13
Syohei YOSHIDA (2016-04-18T03:53:46Z),15,20
Syohei YOSHIDA (2016-04-18T05:48:34Z),15,20
Syohei YOSHIDA (2016-04-20T02:40:56Z),1,27
Syohei YOSHIDA (2016-04-20T02:41:04Z),0,4
Syohei YOSHIDA (2016-04-20T02:47:59Z),1,31
Syohei YOSHIDA (2016-05-20T02:08:40Z),7,7
Syohei YOSHIDA (2016-05-20T02:12:13Z),7,7
Syohei YOSHIDA (2016-05-20T02:27:38Z),0,23
Syohei YOSHIDA (2016-05-20T02:27:41Z),1,2
Syohei YOSHIDA (2016-05-20T02:45:54Z),1,25
Syohei YOSHIDA (2016-05-20T07:02:43Z),6,6
Syohei YOSHIDA (2016-05-20T08:33:40Z),9,13
Syohei YOSHIDA (2016-05-20T08:46:40Z),15,19
Mario Rodas (2016-08-08T21:58:43Z),4,8
GitHub (2016-08-09T00:12:07Z),4,8
Syohei YOSHIDA (2016-08-13T05:54:53Z),0,6
Syohei YOSHIDA (2016-11-23T12:51:17Z),20,14
Syohei YOSHIDA (2016-11-24T16:22:27Z),1,1
GitHub (2016-11-24T16:32:08Z),21,15
Syohei YOSHIDA (2017-02-11T15:24:01Z),2,0
Wilfred Hughes (2017-03-15T17:15:54Z),1,1
Wilfred Hughes (2017-03-15T17:19:21Z),2,2
GitHub (2017-03-16T03:46:58Z),3,3
Syohei YOSHIDA (2017-03-16T03:47:57Z),1,1
Wilfred Hughes (2017-03-23T10:30:46Z),1,2
GitHub (2017-03-24T09:40:43Z),1,2
Syohei YOSHIDA (2017-03-24T09:48:47Z),2,8
Syohei YOSHIDA (2017-03-24T09:49:07Z),1,7
