user_date,deletions,additions
Mike Bostock (2013-01-24T17:26:22Z),1483,50
Jason Davies (2013-01-31T17:34:05Z),50,55
Mike Bostock (2013-01-31T23:11:40Z),76,75
Mike Bostock (2013-02-01T16:09:12Z),8,14
Jason Davies (2013-02-01T16:51:47Z),3,5
Mike Bostock (2013-02-01T17:58:24Z),54,21
Mike Bostock (2013-02-01T18:30:51Z),13,21
Mike Bostock (2013-02-01T18:57:37Z),8,8
Mike Bostock (2013-02-01T19:06:29Z),1,1
Jason Davies (2013-02-05T21:35:58Z),0,8
Mike Bostock (2013-02-06T16:50:19Z),5,8
Mike Bostock (2013-02-06T16:51:20Z),4,4
Mike Bostock (2013-02-06T16:55:05Z),13,12
Mike Bostock (2013-02-06T17:48:29Z),5,5
Mike Bostock (2013-02-06T18:18:52Z),9,30
Mike Bostock (2013-02-06T18:25:19Z),8,25
Mike Bostock (2013-02-06T18:48:13Z),53,148
Mike Bostock (2013-02-06T18:52:10Z),9,30
Mike Bostock (2013-02-06T18:52:35Z),61,159
Mike Bostock (2013-02-06T18:56:37Z),86,84
Mike Bostock (2013-02-06T18:57:05Z),8,8
Mike Bostock (2013-02-06T18:57:30Z),54,21
Mike Bostock (2013-02-06T18:57:55Z),20,36
Mike Bostock (2013-02-06T18:58:29Z),28,21
Mike Bostock (2013-02-06T18:59:09Z),51,64
Mike Bostock (2013-02-06T19:04:42Z),301,424
Mike Bostock (2013-02-14T18:09:35Z),36,237
Calvin Metcalf (2013-02-14T19:17:57Z),1,1
Mike Bostock (2013-02-14T19:30:35Z),1,1
Mike Bostock (2013-02-20T15:51:32Z),14,31
Jim Kang (2014-03-22T04:50:22Z),12,12
Mike Bostock (2014-03-22T14:35:26Z),12,12
Mike Bostock (2014-03-24T03:24:32Z),0,136
Mike Bostock (2014-03-24T05:51:07Z),32,173
Mike Bostock (2014-03-24T05:51:07Z),14,14
Mike Bostock (2014-03-24T05:51:26Z),7,8
Mike Bostock (2014-03-24T05:51:47Z),1,3
Mike Bostock (2014-03-24T05:52:06Z),63,100
Mike Bostock (2014-03-24T05:52:13Z),13,17
Mike Bostock (2014-03-24T05:52:19Z),39,7
Mike Bostock (2014-03-24T05:52:25Z),3,10
Mike Bostock (2014-03-24T05:52:31Z),7,7
Mike Bostock (2014-03-24T05:52:42Z),5,3
Mike Bostock (2014-03-24T05:52:42Z),12,12
Mike Bostock (2014-03-24T05:52:46Z),25,23
Mike Bostock (2014-03-24T05:52:50Z),98,98
Mike Bostock (2014-03-24T05:52:50Z),3,5
Mike Bostock (2014-03-24T05:52:54Z),11,52
Mike Bostock (2014-03-24T05:52:59Z),37,42
Mike Bostock (2014-03-24T05:53:03Z),10,11
Mike Bostock (2014-03-24T05:53:07Z),6,8
Mike Bostock (2014-03-24T05:53:07Z),1,5
Mike Bostock (2014-03-24T05:53:07Z),3,12
Mike Bostock (2014-03-24T05:57:35Z),33,27
Mike Bostock (2014-03-24T16:02:48Z),5,5
Mike Bostock (2014-03-25T03:45:44Z),304,518
Mike Bostock (2014-04-02T03:34:15Z),2,76
Mike Bostock (2014-04-02T03:57:34Z),42,62
Mike Bostock (2014-04-02T15:45:24Z),13,22
Mike Bostock (2014-04-02T15:52:13Z),3,3
Leonardo Dutra (2013-07-24T18:58:58Z),1,1
Leonardo Dutra (2013-07-24T19:01:18Z),1,1
Leonardo Dutra (2013-07-24T20:51:35Z),4,3
Leonardo Dutra (2013-07-24T20:59:28Z),1,1
Leonardo Dutra (2013-07-24T21:04:52Z),2,2
Leonardo Dutra (2013-07-24T21:39:27Z),1,1
Leonardo Dutra (2013-07-29T20:25:05Z),2,3
Leonardo Dutra (2013-07-29T20:27:08Z),2,2
Mike Bostock (2013-07-31T17:40:07Z),0,10
Mike Bostock (2013-07-31T18:00:11Z),7,7
Jason Davies (2013-07-31T20:28:41Z),9,13
Mike Bostock (2013-07-31T21:31:22Z),24,29
Jason Davies (2013-07-31T21:39:01Z),3,3
Mike Bostock (2013-08-01T14:27:59Z),10,9
Mike Bostock (2013-08-01T14:28:49Z),2,2
Mike Bostock (2013-08-01T14:29:32Z),12,12
Mike Bostock (2013-08-01T14:30:31Z),5,5
Mike Bostock (2013-08-01T14:31:53Z),3,3
Mike Bostock (2013-08-01T14:33:51Z),4,3
Mike Bostock (2013-08-01T14:35:38Z),9,9
Mike Bostock (2013-08-01T14:36:02Z),11,19
Mike Bostock (2013-08-01T14:36:26Z),53,84
Mike Bostock (2013-08-01T14:37:00Z),4,15
Mike Bostock (2013-08-01T14:37:51Z),93,141
Mike Bostock (2013-08-12T15:17:45Z),3,3
Jason Davies (2013-08-16T11:58:26Z),63,95
Jason Davies (2013-08-16T11:58:26Z),3,3
Jason Davies (2013-08-16T11:58:41Z),19,96
Jason Davies (2013-08-16T11:58:41Z),8,48
Jason Davies (2013-08-16T11:58:45Z),7,16
Jim Kang (2014-03-22T04:50:22Z),12,12
Mike Bostock (2014-03-22T14:35:26Z),12,12
Mike Bostock (2014-03-24T03:24:32Z),0,136
Mike Bostock (2014-03-24T05:51:07Z),32,173
Mike Bostock (2014-03-24T05:51:07Z),14,14
Mike Bostock (2014-03-24T05:51:26Z),7,8
Mike Bostock (2014-03-24T05:51:47Z),1,3
Mike Bostock (2014-03-24T05:52:06Z),63,100
Mike Bostock (2014-03-24T05:52:13Z),13,17
Mike Bostock (2014-03-24T05:52:19Z),39,7
Mike Bostock (2014-03-24T05:52:25Z),3,10
Mike Bostock (2014-03-24T05:52:31Z),7,7
Mike Bostock (2014-03-24T05:52:42Z),5,3
Mike Bostock (2014-03-24T05:52:42Z),12,12
Mike Bostock (2014-03-24T05:52:46Z),25,23
Mike Bostock (2014-03-24T05:52:50Z),98,98
Mike Bostock (2014-03-24T05:52:50Z),3,5
Mike Bostock (2014-03-24T05:52:54Z),11,52
Mike Bostock (2014-03-24T05:52:59Z),37,42
Mike Bostock (2014-03-24T05:53:03Z),10,11
Mike Bostock (2014-03-24T05:53:07Z),6,8
Mike Bostock (2014-03-24T05:53:07Z),1,5
Mike Bostock (2014-03-24T05:53:07Z),3,12
Mike Bostock (2014-03-24T05:57:35Z),33,27
Mike Bostock (2014-03-24T16:02:48Z),5,5
Mike Bostock (2014-03-25T03:45:44Z),304,518
Mike Bostock (2014-04-06T04:41:03Z),131,73
Mike Bostock (2014-04-06T04:50:33Z),8,9
Mike Bostock (2014-04-06T05:05:11Z),0,41
Mike Bostock (2014-04-06T05:24:21Z),17,7
Mike Bostock (2014-03-24T05:51:07Z),14,14
Mike Bostock (2014-03-24T05:51:26Z),7,8
Mike Bostock (2014-03-24T05:51:47Z),1,3
Mike Bostock (2014-03-24T05:52:06Z),63,100
Mike Bostock (2014-03-24T05:52:13Z),13,17
Mike Bostock (2014-03-24T05:52:19Z),39,7
Mike Bostock (2014-03-24T05:52:25Z),3,10
Mike Bostock (2014-03-24T05:52:31Z),7,7
Mike Bostock (2014-03-24T05:52:42Z),5,3
Mike Bostock (2014-03-24T05:52:42Z),12,12
Mike Bostock (2014-03-24T05:52:46Z),25,23
Mike Bostock (2014-03-24T05:52:50Z),98,98
Mike Bostock (2014-03-24T05:52:50Z),3,5
Mike Bostock (2014-03-24T05:52:54Z),11,52
Mike Bostock (2014-03-24T05:52:59Z),37,42
Mike Bostock (2014-03-24T05:53:03Z),10,11
Mike Bostock (2014-03-24T05:53:07Z),6,8
Mike Bostock (2014-03-24T05:53:07Z),1,5
Mike Bostock (2014-03-24T05:53:07Z),3,12
Mike Bostock (2014-03-24T05:57:35Z),33,27
