user_date,deletions,additions
Scott Chacon (2011-08-13T22:57:14Z),0,9
Scott Chacon (2011-08-13T23:20:45Z),1,7
Cameron McEfee (2011-09-14T18:07:28Z),10,2447
Cameron McEfee (2011-09-14T18:21:25Z),556,308
Cameron McEfee (2011-09-14T22:19:49Z),5,461
Cameron McEfee (2011-09-14T22:34:06Z),3,45
Cameron McEfee (2011-09-15T00:57:18Z),76,285
Cameron McEfee (2011-09-15T18:45:21Z),13,237
Cameron McEfee (2011-09-15T18:45:27Z),0,1
Cameron McEfee (2011-09-15T18:50:16Z),40,0
Cameron McEfee (2011-09-15T18:50:27Z),2,2
Cameron McEfee (2011-09-15T18:58:40Z),2,3
Cameron McEfee (2011-09-15T19:03:14Z),0,1
Scott Chacon (2011-09-17T23:19:01Z),64,243
Scott Chacon (2011-09-17T23:24:38Z),0,26
Scott Chacon (2011-09-22T21:29:36Z),276,489
Scott Chacon (2011-09-22T21:55:14Z),0,20
Scott Chacon (2011-09-22T22:27:22Z),3,3
Scott Chacon (2011-09-22T22:30:14Z),3,3
Scott Chacon (2011-09-22T22:33:03Z),1,1
Scott Chacon (2011-09-22T22:33:52Z),1,1
Scott Chacon (2011-09-22T22:39:59Z),1,5
Scott Chacon (2011-09-23T04:52:23Z),1,1
Chris Wanstrath (2011-09-24T03:01:21Z),1,1
Scott Chacon (2011-08-13T22:57:14Z),0,9
Scott Chacon (2011-08-13T23:20:45Z),1,7
Cameron McEfee (2011-09-14T18:07:28Z),10,2447
Cameron McEfee (2011-09-14T18:21:25Z),556,308
Cameron McEfee (2011-09-14T22:19:49Z),5,461
Cameron McEfee (2011-09-14T22:34:06Z),3,45
Cameron McEfee (2011-09-15T00:57:18Z),76,285
Cameron McEfee (2011-09-15T18:45:21Z),13,237
Cameron McEfee (2011-09-15T18:45:27Z),0,1
Cameron McEfee (2011-09-15T18:50:16Z),40,0
Cameron McEfee (2011-09-15T18:50:27Z),2,2
Cameron McEfee (2011-09-15T18:58:40Z),2,3
Cameron McEfee (2011-09-15T19:03:14Z),0,1
Scott Chacon (2011-09-17T23:19:01Z),64,243
Scott Chacon (2011-09-17T23:24:38Z),0,26
Scott Chacon (2011-09-22T21:29:36Z),276,489
Scott Chacon (2011-08-13T22:57:14Z),0,9
Scott Chacon (2011-08-13T23:20:45Z),1,7
Cameron McEfee (2011-09-14T18:07:28Z),10,2447
Cameron McEfee (2011-09-14T18:21:25Z),556,308
Cameron McEfee (2011-09-14T22:19:49Z),5,461
Cameron McEfee (2011-09-14T22:34:06Z),3,45
Cameron McEfee (2011-09-15T00:57:18Z),76,285
Cameron McEfee (2011-09-15T18:45:21Z),13,237
Cameron McEfee (2011-09-15T18:45:27Z),0,1
Cameron McEfee (2011-09-15T18:50:16Z),40,0
Cameron McEfee (2011-09-15T18:50:27Z),2,2
Cameron McEfee (2011-09-15T18:58:40Z),2,3
Cameron McEfee (2011-09-15T19:03:14Z),0,1
Scott Chacon (2011-09-17T23:19:01Z),64,243
Scott Chacon (2011-09-17T23:24:38Z),0,26
Scott Chacon (2011-09-22T21:29:36Z),276,489
Scott Chacon (2011-09-22T21:55:14Z),0,20
Scott Chacon (2011-09-22T22:27:22Z),3,3
Scott Chacon (2011-09-22T22:30:14Z),3,3
Scott Chacon (2011-09-22T22:33:03Z),1,1
Scott Chacon (2011-09-22T22:33:52Z),1,1
Scott Chacon (2011-09-22T22:39:59Z),1,5
Scott Chacon (2011-09-23T04:52:23Z),1,1
