user_date,deletions,additions
Chris Wanstrath (2010-08-07T23:29:17Z),1,1
Chris Wanstrath (2010-08-17T02:53:55Z),4,0
Chris Wanstrath (2010-08-17T02:53:55Z),0,4
Chris Wanstrath (2010-08-17T02:53:55Z),1,1
Chris Wanstrath (2010-11-13T19:15:50Z),3,3
Chris Wanstrath (2010-11-14T02:05:53Z),1,0
Chris Wanstrath (2011-01-04T21:49:21Z),1,1
Chris Wanstrath (2011-01-04T21:49:33Z),2,2
Chris Wanstrath (2011-01-04T21:54:58Z),1,153
Chris Wanstrath (2011-02-22T03:07:41Z),2,1
Chris Wanstrath (2011-02-22T03:26:08Z),2,2
Chris Wanstrath (2011-02-22T23:30:57Z),1,1
Chris Wanstrath (2011-03-05T08:50:37Z),4,11
Chris Wanstrath (2011-03-05T08:50:49Z),0,10
Chris Wanstrath (2011-03-06T23:56:46Z),279,23
Chris Wanstrath (2011-03-07T02:34:28Z),6,7
Chris Wanstrath (2011-05-18T00:14:02Z),0,1
Chris Wanstrath (2011-05-18T00:14:08Z),0,1185
Chris Wanstrath (2011-05-18T00:14:24Z),2,5
Chris Wanstrath (2011-08-16T20:58:25Z),1,15
Chris Wanstrath (2011-08-16T20:58:33Z),1,1
Chris Wanstrath (2011-08-16T20:58:53Z),4,0
Chris Wanstrath (2011-08-16T20:59:07Z),0,930
Chris Wanstrath (2011-08-16T21:02:38Z),4,0
Chris Wanstrath (2011-08-16T21:02:51Z),1,1
Chris Wanstrath (2011-08-16T21:30:52Z),2,7
Chris Wanstrath (2011-08-16T22:01:13Z),4,4
Chris Wanstrath (2011-10-24T20:45:20Z),4,0
Chris Wanstrath (2011-10-25T18:15:23Z),49,0
Chris Wanstrath (2011-10-25T21:53:43Z),0,5
