user_date,deletions,additions
rick (2011-03-07T19:12:15Z),0,202
rick (2011-03-07T20:37:30Z),4,53
rick (2011-03-07T20:48:48Z),2,25
rick (2011-03-07T21:41:28Z),39,70
rick (2011-03-07T21:52:40Z),30,36
rick (2011-03-07T22:15:50Z),1,16
rick (2011-03-07T22:38:30Z),10,42
rick (2011-03-07T22:57:12Z),1,4
rick (2011-03-07T23:02:23Z),0,236
rick (2011-03-07T23:29:18Z),3,2
rick (2011-03-07T23:45:59Z),3,11
rick (2011-03-08T18:15:42Z),17,10
rick (2011-03-08T20:24:51Z),23,58
rick (2011-03-08T23:03:46Z),6,104
rick (2011-03-14T21:30:35Z),307,110
rick (2011-03-14T21:47:37Z),0,34
rick (2011-03-14T21:48:05Z),2,6
rick (2011-03-16T14:54:58Z),1,12
rick (2011-03-16T15:10:05Z),0,4
rick (2011-03-17T02:27:51Z),3,83
rick (2011-03-17T07:12:37Z),0,60
rick (2011-03-17T07:20:22Z),1,27
rick (2011-03-17T07:23:17Z),1,10
rick (2011-03-17T07:28:05Z),3,3
risk :danger: olson (2011-08-23T23:09:16Z),2,16
risk :danger: olson (2011-08-23T23:18:44Z),4,4
Michael Saffitz (2011-09-05T18:58:08Z),1,7
rick (2011-09-05T22:47:28Z),1,7
rick (2011-03-07T19:12:15Z),0,202
rick (2011-03-07T20:37:30Z),4,53
rick (2011-03-07T20:48:48Z),2,25
rick (2011-03-07T21:41:28Z),39,70
rick (2011-03-07T21:52:40Z),30,36
rick (2011-03-07T22:15:50Z),1,16
rick (2011-03-07T22:38:30Z),10,42
rick (2011-03-07T22:57:12Z),1,4
rick (2011-03-07T23:02:23Z),0,236
rick (2011-03-07T23:29:18Z),3,2
rick (2011-03-07T23:45:59Z),3,11
rick (2011-03-08T18:15:42Z),17,10
rick (2011-03-08T20:24:51Z),23,58
rick (2011-03-08T23:03:46Z),6,104
rick (2011-03-14T21:30:35Z),307,110
rick (2011-03-14T21:47:37Z),0,34
rick (2011-03-14T21:48:05Z),2,6
rick (2011-03-16T14:54:58Z),1,12
rick (2011-03-16T15:10:05Z),0,4
rick (2011-03-17T02:27:51Z),3,83
rick (2011-03-17T07:12:37Z),0,60
rick (2011-03-17T07:20:22Z),1,27
rick (2011-03-17T07:23:17Z),1,10
rick (2011-03-17T07:28:05Z),3,3
risk :danger: olson (2011-08-23T23:09:16Z),2,16
risk :danger: olson (2011-08-23T23:18:44Z),4,4
Michael Saffitz (2011-09-05T18:58:08Z),1,7
rick (2011-09-05T22:47:28Z),1,7
Chris Wanstrath (2011-12-16T23:12:50Z),0,30
