user_date,deletions,additions
Kyle Neath (2010-04-18T01:45:11Z),9,9
Kyle Neath (2010-04-18T01:45:19Z),1,8
Kyle Neath (2010-04-18T01:57:08Z),4,19
Kyle Neath (2010-04-18T01:58:28Z),16,0
Kyle Neath (2010-04-18T01:59:11Z),2,2
Kyle Neath (2010-04-18T02:16:28Z),1,78
Kyle Neath (2010-04-18T02:17:13Z),0,20
Kyle Neath (2010-04-18T02:18:37Z),2,0
Kyle Neath (2010-04-18T04:31:56Z),2,8
Kyle Neath (2010-04-18T05:51:06Z),0,12
Kyle Neath (2010-04-19T23:26:42Z),1,2
Chris Wanstrath (2010-04-23T15:49:20Z),0,1
Chris Wanstrath (2010-04-23T15:49:20Z),0,1
Chris Wanstrath (2010-04-23T15:49:45Z),1,1
Chris Wanstrath (2010-04-23T15:50:45Z),1,1
Chris Wanstrath (2010-04-23T15:50:57Z),0,2
Chris Wanstrath (2010-06-23T17:58:09Z),391,0
Chris Wanstrath (2010-06-23T18:06:54Z),46,0
Chris Wanstrath (2010-06-23T18:07:48Z),1,5
Chris Wanstrath (2010-06-23T18:08:01Z),0,20
Chris Wanstrath (2010-11-19T03:53:18Z),1,1
Chris Wanstrath (2010-11-19T03:59:40Z),144,712
Chris Wanstrath (2010-12-08T08:14:29Z),4,3
Emil Loer (2010-12-16T14:12:50Z),1,1
Chris Wanstrath (2011-02-03T20:14:39Z),3,6
Chris Wanstrath (2011-02-17T05:24:27Z),2,2
Chris Wanstrath (2011-02-19T00:42:37Z),5,4
Chris Wanstrath (2011-02-22T20:42:44Z),8,9
Chris Wanstrath (2011-02-22T21:00:18Z),2,10
Chris Wanstrath (2011-02-22T21:00:32Z),7,8
Kyle Neath (2010-04-18T02:17:13Z),0,20
Kyle Neath (2010-04-18T02:18:37Z),2,0
Kyle Neath (2010-04-18T04:31:56Z),2,8
Kyle Neath (2010-04-18T05:51:06Z),0,12
Kyle Neath (2010-04-19T23:26:42Z),1,2
Chris Wanstrath (2010-04-23T15:49:20Z),0,1
Chris Wanstrath (2010-04-23T15:49:20Z),0,1
Chris Wanstrath (2010-04-23T15:49:45Z),1,1
Chris Wanstrath (2010-04-23T15:50:45Z),1,1
Chris Wanstrath (2010-04-23T15:50:57Z),0,2
Chris Wanstrath (2010-06-23T17:58:09Z),391,0
Chris Wanstrath (2010-06-23T18:06:54Z),46,0
Chris Wanstrath (2010-06-23T18:07:48Z),1,5
Chris Wanstrath (2010-06-23T18:08:01Z),0,20
Chris Wanstrath (2010-11-19T03:53:18Z),1,1
Chris Wanstrath (2010-11-19T03:59:40Z),144,712
Chris Wanstrath (2010-12-08T08:14:29Z),4,3
Emil Loer (2010-12-16T14:12:50Z),1,1
Chris Wanstrath (2011-02-03T20:14:39Z),3,6
Chris Wanstrath (2011-02-17T05:24:27Z),2,2
Chris Wanstrath (2011-02-19T00:42:37Z),5,4
Chris Wanstrath (2011-02-26T23:24:58Z),2,1
Chris Wanstrath (2011-02-26T23:30:58Z),1,1
Chris Wanstrath (2011-03-04T18:33:12Z),1,1
Chris Wanstrath (2011-03-22T17:48:27Z),0,1
Chris Wanstrath (2011-10-03T18:05:33Z),1,5
Paul Dragoonis (2011-11-02T01:42:22Z),1,1
Chris Wanstrath (2011-11-02T17:03:05Z),1,1
Aaron Cruz (2013-01-05T19:35:43Z),1,1
Chris Wanstrath (2013-07-15T19:55:04Z),1,1
Chris Wanstrath (2010-11-19T04:01:30Z),0,0
Chris Wanstrath (2010-11-19T04:02:31Z),0,481
Chris Wanstrath (2010-11-19T04:04:11Z),2,2
Chris Wanstrath (2010-11-19T04:08:50Z),5,394
