user_date,deletions,additions
Jon Rohan (2011-11-03T04:29:08Z),0,0
Jon Rohan (2011-11-03T04:50:57Z),6,104
Jon Rohan (2011-11-03T06:00:27Z),16,20
Jon Rohan (2011-11-03T06:01:24Z),1,1
Jon Rohan (2011-11-03T06:18:08Z),11,20
Wade Simmons (2011-11-21T07:54:11Z),1,1
Wade Simmons (2012-01-05T06:06:18Z),2,2
Wade Simmons (2012-01-05T06:11:13Z),1,1
Wade Simmons (2012-01-05T06:19:11Z),0,5
Wade Simmons (2012-01-05T07:18:58Z),11,25
Wade Simmons (2012-01-05T19:23:49Z),27,89
Wade Simmons (2012-01-05T19:33:41Z),2,2
Wade Simmons (2012-01-11T01:28:31Z),0,7
Wade Simmons (2012-04-06T04:27:36Z),8,0
Wade Simmons (2012-04-06T04:39:53Z),0,5
Wade Simmons (2012-04-06T04:48:12Z),0,6
Wade Simmons (2012-04-06T05:01:29Z),0,6
Wade Simmons (2012-04-06T05:10:59Z),0,5
Wade Simmons (2012-04-06T05:31:24Z),0,7
Wade Simmons (2012-04-06T05:37:52Z),2,2
Wade Simmons (2012-04-06T05:44:04Z),0,7
Wade Simmons (2012-05-20T05:33:51Z),1,1
Wade Simmons (2012-06-29T20:57:28Z),0,5
Wade Simmons (2012-06-29T20:58:50Z),25,28
Wade Simmons (2012-06-29T21:32:37Z),1,1
Wade Simmons (2012-06-29T21:33:07Z),1,1
Jon Rohan (2012-07-27T03:08:22Z),0,4
Coby Chapple (2012-07-27T04:10:36Z),3,3
Jon Rohan (2012-07-27T04:15:52Z),3,3
Chris Wanstrath (2012-07-28T02:37:44Z),0,6
Jon Rohan (2011-11-03T03:16:45Z),3,16
Jon Rohan (2011-11-03T04:29:08Z),0,0
Jon Rohan (2011-11-03T04:50:57Z),6,104
Jon Rohan (2011-11-03T06:00:27Z),16,20
Jon Rohan (2011-11-03T06:01:24Z),1,1
Jon Rohan (2011-11-03T06:18:08Z),11,20
Wade Simmons (2011-11-21T07:54:11Z),1,1
Wade Simmons (2012-01-05T06:06:18Z),2,2
Wade Simmons (2012-01-05T06:11:13Z),1,1
Wade Simmons (2012-01-05T06:19:11Z),0,5
Wade Simmons (2012-01-05T07:18:58Z),11,25
Wade Simmons (2012-01-05T19:23:49Z),27,89
Wade Simmons (2012-01-05T19:33:41Z),2,2
Wade Simmons (2012-01-11T01:28:31Z),0,7
Wade Simmons (2012-04-06T04:27:36Z),8,0
Wade Simmons (2012-04-06T04:39:53Z),0,5
Wade Simmons (2012-04-06T04:48:12Z),0,6
Wade Simmons (2012-04-06T05:01:29Z),0,6
Wade Simmons (2012-04-06T05:10:59Z),0,5
Wade Simmons (2012-04-06T05:31:24Z),0,7
Wade Simmons (2012-04-06T05:37:52Z),2,2
Wade Simmons (2012-04-06T05:44:04Z),0,7
Wade Simmons (2012-05-20T05:33:51Z),1,1
Wade Simmons (2012-06-29T20:57:28Z),0,5
Wade Simmons (2012-06-29T20:58:50Z),25,28
Wade Simmons (2012-06-29T21:32:37Z),1,1
Wade Simmons (2012-06-29T21:33:07Z),1,1
Jon Rohan (2012-07-27T03:08:22Z),0,4
Coby Chapple (2012-07-27T04:10:36Z),3,3
Jon Rohan (2012-07-27T04:15:52Z),3,3
