user_date,deletions,additions
Fabian Jakobs (2008-12-12T15:20:58Z),0,235
Fabian Jakobs (2008-12-12T16:04:50Z),0,1271
Fabian Jakobs (2008-12-12T16:24:05Z),323,11
Fabian Jakobs (2008-12-12T16:32:21Z),0,0
Andreas Ecker (2008-12-12T16:59:37Z),3,765
Andreas Ecker (2008-12-12T17:12:45Z),0,0
Andreas Ecker (2008-12-12T17:13:01Z),0,0
Fabian Jakobs (2008-12-15T10:35:38Z),69,85
Fabian Jakobs (2008-12-15T10:46:00Z),1,8
Fabian Jakobs (2008-12-15T12:38:39Z),42,116
Fabian Jakobs (2008-12-15T13:05:32Z),6,55
Fabian Jakobs (2008-12-15T14:01:50Z),6,6
Fabian Jakobs (2008-12-19T09:13:15Z),2,2
Fabian Jakobs (2009-06-04T08:56:16Z),153,3475
Fabian Jakobs (2009-06-04T08:57:07Z),661,981
Fabian Jakobs (2009-06-04T08:57:23Z),9,17
Fabian Jakobs (2009-06-04T08:57:45Z),308,555
Fabian Jakobs (2009-06-04T17:25:16Z),10,257
Fabian Jakobs (2009-06-04T18:15:27Z),12,232
