user_date,deletions,additions
Fabian Jakobs (2011-01-21T08:43:20Z),1,1
Fabian Jakobs (2011-01-21T08:43:20Z),2,0
Fabian Jakobs (2011-01-21T08:43:55Z),3,3
Fabian Jakobs (2011-01-22T14:01:03Z),1,1
Fabian Jakobs (2011-01-22T14:22:52Z),1,1
Fabian Jakobs (2011-01-22T14:36:14Z),1,5
Fabian Jakobs (2011-01-22T14:59:09Z),0,1
Fabian Jakobs (2011-01-22T14:59:20Z),1,4
Fabian Jakobs (2011-01-22T16:02:11Z),30,3
Fabian Jakobs (2011-01-22T16:02:34Z),22,22
Fabian Jakobs (2011-01-22T16:15:59Z),2,37
Fabian Jakobs (2011-01-22T16:17:40Z),4,0
Fabian Jakobs (2011-01-22T16:23:17Z),1340,1842
Fabian Jakobs (2011-01-22T20:24:05Z),23,99
Fabian Jakobs (2011-01-22T20:24:52Z),2,2
Fabian Jakobs (2011-01-22T20:25:13Z),2,2
Fabian Jakobs (2011-01-22T23:00:27Z),8,11
Fabian Jakobs (2011-01-22T23:01:29Z),4,81
Fabian Jakobs (2011-01-23T13:26:06Z),60,1
Fabian Jakobs (2011-01-23T13:26:29Z),4,0
Fabian Jakobs (2011-01-23T13:59:53Z),61,114
Fabian Jakobs (2011-01-23T14:02:38Z),0,5
Fabian Jakobs (2011-01-23T16:47:31Z),0,323
Fabian Jakobs (2011-01-23T17:29:57Z),1,1
Fabian Jakobs (2011-01-25T12:32:42Z),0,6
Fabian Jakobs (2011-01-25T12:32:58Z),4,4
Fabian Jakobs (2011-01-25T12:33:37Z),0,2267
Fabian Jakobs (2011-01-25T12:34:20Z),10,15
Fabian Jakobs (2011-01-25T12:34:44Z),3,30
Fabian Jakobs (2011-01-25T12:35:30Z),1,1
Joe Walker (2011-01-12T15:23:04Z),3,2
Joe Walker (2011-01-12T15:23:39Z),2,1
Joe Walker (2011-01-12T17:27:33Z),25,2536
Joe Walker (2011-01-12T17:28:30Z),20,61
Joe Walker (2011-01-12T17:30:15Z),3,3
Joe Walker (2011-01-12T17:31:25Z),1,1
Joe Walker (2011-01-12T17:35:39Z),19,3
Joe Walker (2011-01-12T17:36:00Z),2457,2
Kevin Dangoor (2011-01-12T20:49:18Z),12041,1
Kevin Dangoor (2011-01-12T20:52:51Z),2,10
Kevin Dangoor (2011-01-12T20:54:39Z),1,3
Kevin Dangoor (2011-01-12T20:57:12Z),0,1
Kevin Dangoor (2011-01-13T03:22:44Z),0,474
Julian Viereck (2011-01-13T21:45:13Z),20,364
Julian Viereck (2011-01-13T21:45:13Z),4,4
Julian Viereck (2011-01-13T21:45:13Z),10,19
Julian Viereck (2011-01-13T21:45:13Z),23,217
Julian Viereck (2011-01-13T21:47:58Z),94,95
Julian Viereck (2011-01-13T22:01:36Z),28,29
Julian Viereck (2011-01-13T22:12:27Z),20,17
Fabian Jakobs (2011-01-13T22:12:52Z),1,1
Julian Viereck (2011-01-13T23:08:48Z),74,144
