user_date,deletions,additions
Fabian Jakobs (2010-09-29T17:33:38Z),1,1
mikedeboer (2010-09-29T17:54:29Z),20,45
mikedeboer (2010-09-29T17:58:06Z),19,30
mikedeboer (2010-09-29T19:24:50Z),16,5
mikedeboer (2010-09-29T19:28:43Z),1,1
Fabian Jakobs (2010-09-30T10:42:49Z),37,51
mikedeboer (2010-09-30T11:55:47Z),112672,112734
Fabian Jakobs (2010-09-30T12:19:28Z),112672,112734
Ruben (2010-09-30T16:15:19Z),1,1
Fabian Jakobs (2010-10-01T07:41:16Z),1,1
Fabian Jakobs (2010-10-01T08:47:27Z),1,1
Ruben Daniels (2010-10-01T08:47:54Z),8,9
Ruben Daniels (2010-10-01T08:48:13Z),1,1
mikedeboer (2010-10-01T08:54:28Z),1,1
mikedeboer (2010-10-01T08:54:54Z),10,11
Fabian Jakobs (2010-10-01T10:30:49Z),1,1
mikedeboer (2010-10-01T10:35:31Z),1,1
Fabian Jakobs (2010-10-01T10:37:38Z),1,2
Fabian Jakobs (2010-10-01T10:37:45Z),1,1
Fabian Jakobs (2010-10-01T10:46:24Z),1,16
Fabian Jakobs (2010-10-01T12:56:10Z),0,1
Fabian Jakobs (2010-10-01T12:59:19Z),1,1
Fabian Jakobs (2010-10-01T13:09:54Z),0,0
Fabian Jakobs (2010-10-01T13:13:14Z),1,1
Fabian Jakobs (2010-10-01T13:52:22Z),5,10
Fabian Jakobs (2010-10-01T14:24:31Z),1,1
Fabian Jakobs (2010-10-01T14:45:57Z),3,2
Fabian Jakobs (2010-10-01T14:46:07Z),0,0
mikedeboer (2010-10-01T16:01:28Z),1,1
mikedeboer (2010-10-01T16:01:57Z),32,60
