user_date,deletions,additions
rikarends (2010-11-08T09:07:43Z),0,1182
rikarends (2010-11-08T12:07:37Z),11,26
rikarends (2010-11-08T13:24:30Z),16,25
rikarends (2010-11-08T13:27:00Z),1,1
rikarends (2010-11-08T13:49:50Z),11,24
rikarends (2010-11-09T02:34:08Z),26,299
rikarends (2010-11-10T10:37:51Z),43,50
rikarends (2010-11-12T13:38:40Z),38,910
rikarends (2010-11-12T13:51:53Z),11,12
rikarends (2010-11-12T14:51:27Z),12,44
rikarends (2010-11-29T23:37:10Z),0,59
rikarends (2010-11-30T00:05:38Z),60,146
Stijn Kuipers (2010-11-30T09:28:12Z),7,90
arc (2012-05-20T23:23:42Z),0,72
