user_date,deletions,additions
ciaranj (2011-07-17T21:38:11Z),2,2
ciaranj (2011-08-06T20:40:26Z),5,9
ciaranj (2011-08-15T22:34:46Z),7,1
ciaranj (2011-08-15T22:36:16Z),12,11
ciaranj (2011-08-15T22:47:26Z),7,108
ciaranj (2011-08-18T22:00:51Z),20,20
ciaranj (2011-08-19T20:50:22Z),60,150
ciaranj (2011-08-19T21:08:17Z),0,7
ciaranj (2011-08-19T21:28:05Z),10,23
ciaranj (2011-08-19T21:49:37Z),2,2
ciaranj (2011-08-19T21:52:59Z),1,8
ciaranj (2011-08-19T22:31:50Z),3,8
ciaranj (2011-08-20T22:22:56Z),0,95
ciaranj (2011-08-20T22:45:23Z),13,21
ciaranj (2011-08-21T16:58:55Z),31,43
ciaranj (2011-08-21T17:20:28Z),14,14
ciaranj (2011-08-21T18:24:40Z),198,240
ciaranj (2011-08-21T18:42:14Z),19,19
ciaranj (2011-08-21T19:48:45Z),36,61
ciaranj (2011-08-21T20:55:55Z),2,5
ciaranj (2011-08-21T21:30:26Z),15,49
ciaranj (2011-08-21T21:37:59Z),1,2
ciaranj (2011-08-21T21:43:52Z),6,11
ciaranj (2011-09-04T22:10:44Z),1,2
ciaranj (2011-09-04T22:32:49Z),1,12
ciaranj (2011-09-04T22:33:56Z),2,3
ciaranj (2011-09-05T19:40:57Z),8,7
Fabian Jakobs (2011-10-18T12:25:13Z),2,2
Ciaran Jessup (2011-10-18T14:25:42Z),2,2
Fabian Jakobs (2011-10-25T10:04:47Z),0,3
ciaranj (2011-07-15T22:10:31Z),4,13
ciaranj (2011-07-17T21:34:55Z),481,1222
ciaranj (2011-07-17T21:38:11Z),2,2
ciaranj (2011-08-06T20:40:26Z),5,9
ciaranj (2011-08-15T22:34:46Z),7,1
ciaranj (2011-08-15T22:36:16Z),12,11
ciaranj (2011-08-15T22:47:26Z),7,108
ciaranj (2011-08-18T22:00:51Z),20,20
ciaranj (2011-08-19T20:50:22Z),60,150
ciaranj (2011-08-19T21:08:17Z),0,7
ciaranj (2011-08-19T21:28:05Z),10,23
ciaranj (2011-08-19T21:49:37Z),2,2
ciaranj (2011-08-19T21:52:59Z),1,8
ciaranj (2011-08-19T22:31:50Z),3,8
ciaranj (2011-08-20T22:22:56Z),0,95
ciaranj (2011-08-20T22:45:23Z),13,21
ciaranj (2011-08-21T16:58:55Z),31,43
ciaranj (2011-08-21T17:20:28Z),14,14
ciaranj (2011-08-21T18:24:40Z),198,240
ciaranj (2011-08-21T18:42:14Z),19,19
ciaranj (2011-08-21T19:48:45Z),36,61
ciaranj (2011-08-21T20:55:55Z),2,5
ciaranj (2011-08-21T21:30:26Z),15,49
ciaranj (2011-08-21T21:37:59Z),1,2
ciaranj (2011-08-21T21:43:52Z),6,11
ciaranj (2011-09-04T22:10:44Z),1,2
ciaranj (2011-09-04T22:32:49Z),1,12
ciaranj (2011-09-04T22:33:56Z),2,3
ciaranj (2011-09-05T19:40:57Z),8,7
Fabian Jakobs (2011-10-18T12:25:13Z),2,2
ciaranj (2011-07-15T22:00:28Z),67,690
ciaranj (2011-07-15T22:10:31Z),4,13
ciaranj (2011-07-17T21:34:55Z),481,1222
ciaranj (2011-07-17T21:38:11Z),2,2
ciaranj (2011-08-06T20:40:26Z),5,9
ciaranj (2011-08-15T22:34:46Z),7,1
ciaranj (2011-08-15T22:36:16Z),12,11
ciaranj (2011-08-15T22:47:26Z),7,108
ciaranj (2011-08-18T22:00:51Z),20,20
ciaranj (2011-08-19T20:50:22Z),60,150
ciaranj (2011-08-19T21:08:17Z),0,7
ciaranj (2011-08-19T21:28:05Z),10,23
ciaranj (2011-08-19T21:49:37Z),2,2
ciaranj (2011-08-19T21:52:59Z),1,8
ciaranj (2011-08-19T22:31:50Z),3,8
ciaranj (2011-08-20T22:22:56Z),0,95
ciaranj (2011-08-20T22:45:23Z),13,21
ciaranj (2011-08-21T16:58:55Z),31,43
ciaranj (2011-08-21T17:20:28Z),14,14
ciaranj (2011-08-21T18:24:40Z),198,240
ciaranj (2011-08-21T18:42:14Z),19,19
ciaranj (2011-08-21T19:48:45Z),36,61
ciaranj (2011-08-21T20:55:55Z),2,5
ciaranj (2011-08-21T21:30:26Z),15,49
ciaranj (2011-08-21T21:37:59Z),1,2
ciaranj (2011-08-21T21:43:52Z),6,11
ciaranj (2011-09-04T22:10:44Z),1,2
ciaranj (2011-09-04T22:32:49Z),1,12
ciaranj (2011-09-04T22:33:56Z),2,3
ciaranj (2011-09-05T19:40:57Z),8,7
ciaranj (2010-07-23T12:06:38Z),0,80
ciaranj (2011-08-22T20:08:25Z),80,889
ciaranj (2011-08-22T20:10:26Z),4,4
ciaranj (2011-08-22T20:37:05Z),0,88
ciaranj (2011-08-22T20:55:45Z),16,34
ciaranj (2011-08-22T22:33:41Z),1,123
ciaranj (2011-08-22T22:43:28Z),0,16
ciaranj (2011-08-22T22:47:00Z),6,7
