user_date,deletions,additions
Nicholas C. Zakas (2011-06-06T19:23:39Z),0,5173
Nicholas C. Zakas (2011-06-06T22:21:18Z),39,95
Nicholas C. Zakas (2011-06-06T23:26:07Z),42,206
Nicholas C. Zakas (2011-06-07T16:16:31Z),0,161
Nicholas C. Zakas (2011-06-07T21:19:35Z),5370,5441
Nicholas C. Zakas (2011-06-07T23:45:46Z),26,36
Nicholas C. Zakas (2011-06-08T02:53:14Z),2,2
Nicholas C. Zakas (2011-06-09T22:42:19Z),7,142
Nicholas C. Zakas (2011-06-09T23:05:13Z),0,107
Nicholas C. Zakas (2011-06-09T23:09:09Z),2,11
Nicholas C. Zakas (2011-06-09T23:31:00Z),0,42
Nicholas C. Zakas (2011-06-09T23:42:10Z),3,3
Nicholas C. Zakas (2011-06-10T00:10:50Z),0,73
Nicholas C. Zakas (2011-06-11T00:10:31Z),47,65
Nicholas C. Zakas (2011-06-12T17:11:43Z),1,31
Nicholas C. Zakas (2011-06-12T17:39:32Z),3,3
Nicholas C. Zakas (2011-06-14T00:16:59Z),1,39
Nicholas C. Zakas (2011-06-14T00:46:53Z),0,65
Nicholas C. Zakas (2011-06-14T01:21:45Z),12,12
Nicholas C. Zakas (2011-06-14T01:33:08Z),16,39
Nicholas C. Zakas (2011-06-14T03:55:47Z),2,67
Nicholas C. Zakas (2011-06-14T03:57:16Z),2,2
Nicholas C. Zakas (2011-06-14T23:44:17Z),1,52
Nicholas C. Zakas (2011-06-15T04:22:00Z),46,5400
Nicholas C. Zakas (2011-06-15T04:37:01Z),1,216
Nicholas C. Zakas (2011-06-15T04:47:52Z),3,3
Fabian Jakobs (2011-06-15T21:59:51Z),1,22
