user_date,deletions,additions
Lea Verou (2011-12-15T23:54:14Z),0,3163
Lea Verou (2011-12-16T01:33:46Z),8,8
Lea Verou (2011-12-16T07:08:21Z),1,36
Lea Verou (2011-12-16T07:23:55Z),42,1
Lea Verou (2011-12-16T08:41:35Z),1,1
Lea Verou (2011-12-16T10:40:38Z),3,7
Lea Verou (2011-12-16T10:41:54Z),1,5
Lea Verou (2011-12-17T02:50:03Z),12,17
Lea Verou (2011-12-17T03:03:16Z),3,8
Lea Verou (2011-12-17T03:43:29Z),2,37
Han Lin Yap (2011-12-17T16:56:07Z),5,17
Lea Verou (2011-12-17T19:36:19Z),3,6
Lea Verou (2011-12-17T19:37:23Z),1,1
Han Lin Yap (2011-12-17T20:29:55Z),11,14
Lea Verou (2011-12-18T06:14:42Z),5,20
Lea Verou (2011-12-18T06:17:51Z),2,3
Han Lin Yap (2011-12-18T12:11:42Z),1,1
Lea Verou (2011-12-18T21:30:48Z),1,1
Lea Verou (2011-12-18T22:20:15Z),1,1
Lea Verou (2011-12-19T05:35:35Z),68,70
Lea Verou (2011-12-19T05:46:50Z),15,12
Lea Verou (2011-12-19T07:04:06Z),239,282
Lea Verou (2011-12-19T07:13:37Z),3,13
Lea Verou (2011-12-19T10:04:12Z),1,4
Lea Verou (2011-12-19T11:54:12Z),5,11
Lea Verou (2011-12-19T12:03:06Z),0,5
Lea Verou (2011-12-19T12:04:56Z),1,1
