user_date,deletions,additions
Adam Putinski (2015-09-04T21:20:14Z),0,61681
Adam Putinski (2015-09-04T21:39:54Z),2,2
Amy Lee (2015-09-04T23:14:22Z),10,9
Amy Lee (2015-09-04T23:15:32Z),1,1
Amy Lee (2015-09-08T17:12:37Z),5,12
Adam Putinski (2015-09-08T17:33:12Z),13,19
Adam Putinski (2015-09-08T17:37:37Z),13,19
Amy Lee (2015-09-08T18:39:05Z),2,1
Bruno Fonzi (2015-09-08T19:03:22Z),1,1
Amy Lee (2015-09-08T21:33:26Z),1,1
Richard Boardman (2015-09-08T22:42:06Z),2,2
Bruno Fonzi (2015-09-08T22:43:20Z),2,2
Amy Lee (2015-09-08T23:36:57Z),1,1
Amy Lee (2015-09-08T23:37:13Z),2,2
Amy Lee (2015-09-08T23:40:05Z),3,3
Richard Boardman (2015-09-08T23:51:55Z),3,3
Richard Boardman (2015-09-08T23:54:27Z),4,4
Richard Boardman (2015-09-09T00:09:23Z),5,14
amyleesalesforce (2015-09-09T00:13:24Z),3,3
Amy Lee (2015-09-09T00:36:53Z),11,17
amyleesalesforce (2015-09-09T00:43:21Z),13,28
amyleesalesforce (2015-09-09T00:44:03Z),2,1
brunofonzi (2015-09-09T17:39:28Z),1,1
Adam Putinski (2015-09-09T19:55:49Z),1,1
Fabian Jakobs (2015-09-10T13:51:59Z),0,2
Fabian Jakobs (2015-09-10T13:52:20Z),0,2
Fabian Jakobs (2015-09-10T18:53:25Z),1,1
Fabian Jakobs (2015-09-10T18:54:10Z),1,1
