user_date,deletions,additions
teknopaul (2011-07-20T19:11:51Z),0,332
teknopaul (2011-08-15T08:25:11Z),8,13
teknopaul (2011-08-15T08:26:24Z),0,0
teknopaul (2011-09-02T06:07:03Z),3,4
teknopaul (2011-09-22T11:11:49Z),3,7
teknopaul (2011-11-04T08:27:49Z),50,84
Fabian Jakobs (2012-02-16T15:03:36Z),7,7
teknopaul (2011-07-20T19:11:51Z),0,332
teknopaul (2011-08-15T08:25:11Z),8,13
teknopaul (2011-08-15T08:26:24Z),0,0
teknopaul (2011-09-02T06:07:03Z),3,4
teknopaul (2011-09-22T11:11:49Z),3,7
teknopaul (2011-11-04T08:27:49Z),50,84
