user_date,deletions,additions
Joe Walker (2011-06-16T10:41:18Z),8,11
Joe Walker (2011-06-22T15:46:27Z),1,32
Joe Walker (2011-06-22T15:51:08Z),5,2
Nick Fitzgerald (2011-06-24T21:18:49Z),8,22
Nick Fitzgerald (2011-06-28T20:59:20Z),7,33
Nick Fitzgerald (2011-06-29T20:12:45Z),0,1
Joe Walker (2011-06-30T09:30:39Z),15,56
Nick Fitzgerald (2011-06-30T17:32:34Z),5,28
Nick Fitzgerald (2011-07-18T18:46:27Z),1,1
Nick Fitzgerald (2011-07-18T18:48:07Z),6,29
Nick Fitzgerald (2011-08-10T00:49:02Z),6,20
Joe Walker (2011-08-15T15:47:58Z),1,0
Joe Walker (2011-08-15T16:42:48Z),0,38
Fabian Jakobs (2011-08-16T11:46:46Z),1,1
Nick Fitzgerald (2011-08-25T23:26:52Z),3,26
Nick Fitzgerald (2011-08-31T00:20:55Z),12,2
Nick Fitzgerald (2011-08-31T00:35:54Z),17,24
Nick Fitzgerald (2011-08-31T00:40:57Z),0,1
Nick Fitzgerald (2011-08-31T20:32:43Z),4,7
Nick Fitzgerald (2011-08-31T20:35:12Z),21,59
Joe Walker (2011-09-01T09:12:36Z),27,88
Joe Walker (2011-09-01T09:48:02Z),35,33
Joe Walker (2011-09-01T09:49:05Z),0,1
Joe Walker (2011-09-01T10:24:46Z),0,169
Fabian Jakobs (2011-09-06T13:54:26Z),1,1
Paul Beusterien (2011-09-27T17:07:46Z),1,1
Joe Walker (2011-09-27T20:09:53Z),1,1
Joe Walker (2011-11-02T17:59:06Z),2,2
Joe Walker (2011-11-06T10:39:28Z),1,1
Fabian Jakobs (2011-11-09T09:57:45Z),2,2
Joe Walker (2011-06-16T10:41:18Z),8,11
Joe Walker (2011-06-22T15:46:27Z),1,32
Joe Walker (2011-06-22T15:51:08Z),5,2
Nick Fitzgerald (2011-06-24T21:18:49Z),8,22
Nick Fitzgerald (2011-06-28T20:59:20Z),7,33
Nick Fitzgerald (2011-06-29T20:12:45Z),0,1
Joe Walker (2011-06-30T09:30:39Z),15,56
Nick Fitzgerald (2011-06-30T17:32:34Z),5,28
Nick Fitzgerald (2011-07-18T18:46:27Z),1,1
Nick Fitzgerald (2011-07-18T18:48:07Z),6,29
Nick Fitzgerald (2011-08-10T00:49:02Z),6,20
Joe Walker (2011-08-15T15:47:58Z),1,0
Joe Walker (2011-08-15T16:42:48Z),0,38
Fabian Jakobs (2011-08-16T11:46:46Z),1,1
Nick Fitzgerald (2011-08-25T23:26:52Z),3,26
Nick Fitzgerald (2011-08-31T00:20:55Z),12,2
Nick Fitzgerald (2011-08-31T00:35:54Z),17,24
Nick Fitzgerald (2011-08-31T00:40:57Z),0,1
Nick Fitzgerald (2011-08-31T20:32:43Z),4,7
Nick Fitzgerald (2011-08-31T20:35:12Z),21,59
Joe Walker (2011-09-01T09:12:36Z),27,88
Joe Walker (2011-09-01T09:48:02Z),35,33
Joe Walker (2011-09-01T09:49:05Z),0,1
Joe Walker (2011-09-01T10:24:46Z),0,169
Fabian Jakobs (2011-09-06T13:54:26Z),1,1
Paul Beusterien (2011-09-27T17:07:46Z),1,1
Joe Walker (2011-09-27T20:09:53Z),1,1
Joe Walker (2011-11-02T17:59:06Z),2,2
Joe Walker (2011-11-06T10:39:28Z),1,1
Fabian Jakobs (2011-11-09T09:53:59Z),1,4
Kevin Dangoor (2010-11-23T18:16:34Z),0,477
Kevin Dangoor (2010-12-12T01:29:36Z),0,84
Mihai Sucan (2011-01-04T21:00:41Z),33,270
Mihai Sucan (2011-01-05T13:06:09Z),3,3
Mihai Sucan (2011-01-05T21:43:02Z),26,19
Mihai Sucan (2011-01-09T17:42:55Z),25,414
Mihai Sucan (2011-01-11T10:08:05Z),0,49
Kevin Dangoor (2011-01-13T04:24:45Z),555,278
Joe Walker (2011-01-14T09:12:59Z),4,302
Joe Walker (2011-01-14T10:29:13Z),56,51
Joe Walker (2011-01-14T12:06:48Z),89,28
Fabian Jakobs (2011-01-22T15:44:40Z),2,3
Joe Walker (2011-01-27T13:45:06Z),20,233
Joe Walker (2011-01-27T13:47:27Z),2,2
Joe Walker (2011-01-27T13:47:34Z),1,2
Joe Walker (2011-01-27T14:00:30Z),11,20
Fabian Jakobs (2011-01-28T08:29:46Z),1,1
Fabian Jakobs (2011-01-28T08:29:54Z),1,1
Fabian Jakobs (2011-01-28T08:30:29Z),31,253
Joe Walker (2011-01-28T16:31:41Z),0,15
Joe Walker (2011-01-28T16:32:29Z),2,6
Joe Walker (2011-01-28T16:34:01Z),2,2
Fabian Jakobs (2011-01-31T08:56:06Z),3,22
Fabian Jakobs (2011-02-08T16:25:42Z),1,1
Fabian Jakobs (2011-02-08T16:26:01Z),0,14
Joe Walker (2011-02-08T16:56:23Z),1,1
Fabian Jakobs (2011-02-21T11:54:03Z),7,12
Mihai Sucan (2011-02-21T17:32:07Z),0,5
Mihai Sucan (2011-02-21T19:26:53Z),7,13
Joe Walker (2011-04-27T14:26:34Z),3,2
Joe Walker (2011-06-16T10:41:18Z),8,11
Joe Walker (2011-06-22T15:46:27Z),1,32
Joe Walker (2011-06-22T15:51:08Z),5,2
Nick Fitzgerald (2011-06-24T21:18:49Z),8,22
Nick Fitzgerald (2011-06-28T20:59:20Z),7,33
Nick Fitzgerald (2011-06-29T20:12:45Z),0,1
Joe Walker (2011-06-30T09:30:39Z),15,56
Nick Fitzgerald (2011-06-30T17:32:34Z),5,28
Nick Fitzgerald (2011-07-18T18:46:27Z),1,1
Nick Fitzgerald (2011-07-18T18:48:07Z),6,29
Nick Fitzgerald (2011-08-10T00:49:02Z),6,20
Joe Walker (2011-08-15T15:47:58Z),1,0
Joe Walker (2011-08-15T16:42:48Z),0,38
Fabian Jakobs (2011-08-16T11:46:46Z),1,1
Nick Fitzgerald (2011-08-25T23:26:52Z),3,26
Nick Fitzgerald (2011-08-31T00:20:55Z),12,2
Nick Fitzgerald (2011-08-31T00:35:54Z),17,24
Nick Fitzgerald (2011-08-31T00:40:57Z),0,1
Nick Fitzgerald (2011-08-31T20:32:43Z),4,7
Nick Fitzgerald (2011-08-31T20:35:12Z),21,59
Joe Walker (2011-09-01T09:12:36Z),27,88
Joe Walker (2011-09-01T09:48:02Z),35,33
Joe Walker (2011-09-01T09:49:05Z),0,1
Joe Walker (2011-09-01T10:24:46Z),0,169
Fabian Jakobs (2011-09-06T13:54:26Z),1,1
Paul Beusterien (2011-09-27T17:07:46Z),1,1
Joe Walker (2011-09-27T20:09:53Z),1,1
Joe Walker (2011-11-02T17:59:06Z),2,2
Joe Walker (2011-11-06T10:39:28Z),1,1
Joe Walker (2011-01-27T13:47:27Z),2,2
Joe Walker (2011-01-27T13:47:34Z),1,2
Joe Walker (2011-01-27T14:00:30Z),11,20
Fabian Jakobs (2011-01-28T08:29:46Z),1,1
Fabian Jakobs (2011-01-28T08:29:54Z),1,1
Fabian Jakobs (2011-01-28T08:30:29Z),31,253
Joe Walker (2011-01-28T16:31:41Z),0,15
Joe Walker (2011-01-28T16:32:29Z),2,6
Joe Walker (2011-01-28T16:34:01Z),2,2
Fabian Jakobs (2011-01-31T08:56:06Z),3,22
Fabian Jakobs (2011-02-08T16:25:42Z),1,1
Fabian Jakobs (2011-02-08T16:26:01Z),0,14
Joe Walker (2011-02-08T16:56:23Z),1,1
Fabian Jakobs (2011-02-21T11:54:03Z),7,12
Mihai Sucan (2011-02-21T17:32:07Z),0,5
Mihai Sucan (2011-02-21T19:26:53Z),7,13
Joe Walker (2011-03-30T15:35:47Z),1,1
Joe Walker (2011-04-27T09:13:32Z),3,3
Joe Walker (2011-04-27T14:24:48Z),12,13
Joe Walker (2011-04-27T14:26:34Z),3,2
Joe Walker (2011-06-16T10:41:18Z),8,11
Joe Walker (2011-06-22T15:46:27Z),1,32
Joe Walker (2011-06-22T15:51:08Z),5,2
Nick Fitzgerald (2011-06-24T21:18:49Z),8,22
Nick Fitzgerald (2011-06-28T20:59:20Z),7,33
