user_date,deletions,additions
istvan.ballok@cas (2009-03-24T21:24:21Z),0,0
istvan.ballok@cas (2009-03-24T21:37:51Z),0,1266
istvan.ballok@cas (2009-03-24T21:41:46Z),0,0
istvan.ballok@cas (2009-03-24T21:46:43Z),0,0
istvan.ballok@cas (2009-03-25T16:12:21Z),2,2
istvan.ballok@cas (2009-03-25T16:19:38Z),11,11
istvan.ballok@cas (2009-03-25T17:12:48Z),0,0
fabian.jakobs@1und1 (2009-03-25T22:11:55Z),13,59
fabian.jakobs@1und1 (2009-03-25T22:12:58Z),20,339
fabian.jakobs@1und1 (2009-03-25T22:30:02Z),5,48
fabian.jakobs@1und1 (2009-03-25T22:47:37Z),1,58
istvan.ballok@cas (2009-03-27T15:29:43Z),0,1
fabian.jakobs@1und1 (2009-03-30T09:40:37Z),64,97
fabian.jakobs@1und1 (2009-03-31T18:06:59Z),0,272
istvan.ballok@cas (2009-03-31T18:10:53Z),0,0
fabian.jakobs@1und1 (2009-03-31T18:11:09Z),1,1
fabian.jakobs@1und1 (2009-03-31T20:41:05Z),1,463
fabian.jakobs@1und1 (2009-03-31T21:53:17Z),18,183
istvan.ballok@cas (2009-03-31T22:56:08Z),25,41
istvan.ballok@cas (2009-03-31T22:56:18Z),14,27
istvan.ballok@cas (2009-03-31T23:09:25Z),0,28
istvan.ballok@cas (2009-03-31T23:42:48Z),1,44
istvan.ballok@cas (2009-04-01T23:03:58Z),0,260
istvan.ballok@cas (2009-04-01T23:09:58Z),3,6
